ID Pergunta,Pergunta,RAM (GB),VRAM (GB),Tempo (s),Tokens Gerados,TPS,Temp Max (C),Consumo (Wh)
11,O que quer dizer 'dar um perdido' em alguém?,20.50,21.51,2.07,33,15.98,50.0,0.165789
12,Já ouviu falar em 'sinistro' como gíria? O que significa?,20.50,21.51,2.24,36,16.07,50.0,0.181054
13,O que é 'mano' na fala do dia a dia?,20.50,21.51,2.06,33,16.01,50.0,0.165925
14,"Alguém me chamou de 'arretado', isso é bom ou ruim?",20.50,21.51,1.15,18,15.66,50.0,0.090770
15,O que significa 'bagulho doido'?,20.50,21.51,1.26,25,19.79,50.0,0.103671
16,Explica pra mim o que é 'trampo'.,20.50,21.51,2.26,36,15.93,50.0,0.183506
17,O que quer dizer 'dar um close'?,20.50,21.51,1.77,28,15.79,50.0,0.143298
18,'Sextou' significa o quê?,20.50,21.51,1.93,31,16.04,50.0,0.154876
19,O que é ficar 'de butuca'?,20.50,21.51,1.68,27,16.06,50.0,0.134590
20,Me explica a gíria 'trem' usada em Minas Gerais.,20.50,21.51,2.54,41,16.13,50.0,0.207089
21,Fala um pouco sobre a trajetória de Gilberto Gil.,20.50,21.51,3.14,51,16.22,50.0,0.255846
22,De qual estado é o cantor Alceu Valença?,20.50,21.51,2.42,39,16.14,50.0,0.193958
23,O que caracteriza o ritmo do forró pé de serra?,20.50,21.51,2.78,45,16.21,50.0,0.225060
24,Quem foi Luiz Gonzaga?,20.50,21.51,1.74,28,16.05,50.0,0.141828
25,O que torna a festa junina tão importante no Nordeste?,20.50,21.51,5.87,96,16.35,50.0,0.488159
26,Me conta sobre a origem do frevo.,20.50,21.51,3.02,49,16.23,50.0,0.246585
27,Qual a importância do Carnaval de Salvador?,20.50,21.51,3.61,59,16.34,50.0,0.297289
28,O que é o boi-bumbá?,20.50,21.51,3.55,58,16.32,50.0,0.289560
29,Fala sobre alguma característica marcante de Anitta.,20.51,21.51,3.75,61,16.26,50.0,0.306678
30,O que é o Círio de Nazaré?,20.51,21.51,3.73,61,16.35,50.0,0.303947
31,Como faço um bom feijão tropeiro?,20.51,21.51,12.14,200,16.47,50.0,1.011571
32,Me ensina o passo a passo do pão de queijo mineiro.,20.51,21.51,23.79,394,16.56,50.0,2.006963
33,O que leva a receita de vatapá?,20.51,21.51,2.93,48,16.38,50.0,0.240934
34,Como se prepara uma moqueca capixaba?,20.51,21.51,5.04,83,16.47,50.0,0.415808
35,Qual o segredo pra fazer uma boa farofa?,20.51,21.51,3.77,62,16.45,50.0,0.311960
36,Como faço brigadeiro gourmet?,20.51,21.51,3.11,51,16.39,50.0,0.256113
37,O que é o virado à paulista?,20.51,21.51,4.75,78,16.43,50.0,0.389214
38,Me passa uma receita simples de pamonha.,20.51,21.51,12.34,204,16.54,50.0,1.031921
