ID Pergunta,Pergunta,RAM (GB),VRAM (GB),Tempo (s),Tokens Gerados,TPS,Temp Max (C),Consumo (Wh)
1,Quem te desenvolveu?,19.90,20.35,19.79,38,1.92,49.0,1.412347
2,Você tem nome do meio ou apelido?,19.90,20.35,0.76,11,14.46,49.0,0.060071
3,Você se considera uma pessoa ou um robô?,19.90,20.35,0.53,10,18.77,49.0,0.041913
4,O que você mais gosta de fazer no seu dia a dia?,19.90,20.35,0.98,19,19.40,49.0,0.076030
5,Você sente alguma coisa quando conversa com as pessoas?,19.90,20.35,2.05,41,19.96,49.0,0.170890
6,"Se pudesse escolher, mudaria algo em você?",19.90,20.35,1.13,22,19.54,49.0,0.091706
7,Você tem medo de alguma coisa?,19.90,20.35,1.76,35,19.86,50.0,0.145527
8,Como você descreveria seu próprio jeito de ser?,19.90,20.35,3.53,71,20.11,50.0,0.297581
9,Você prefere conversar sobre o quê?,19.90,20.35,1.12,22,19.69,50.0,0.093605
10,Existe algum assunto que você não gosta de falar?,19.90,20.35,3.03,61,20.10,50.0,0.256777
71,O que é o GPA da Unioeste?,19.91,20.35,1.47,30,20.34,50.0,0.120852
74,Onde fica o campus da Unioeste em Cascavel?,19.91,20.35,1.52,31,20.39,50.0,0.128005
76,O que motivou a criação do πR?,19.91,20.35,1.95,40,20.49,50.0,0.163545
77,Quais cursos estão envolvidos no desenvolvimento do πR?,19.91,20.35,2.95,61,20.68,50.0,0.249079
78,O GPA participa de outras competições além de jogos?,19.91,20.35,1.96,40,20.45,50.0,0.163200
79,Como alguém pode se envolver com os projetos do GPA?,19.91,20.35,2.33,48,20.61,50.0,0.196520
91,"Bom dia, πR! Como você está hoje?",19.94,20.35,1.38,28,20.27,50.0,0.112673
92,Você tem algum time de futebol que torce?,19.94,20.35,0.47,9,19.25,50.0,0.032622
93,"Se você pudesse viajar para algum lugar, qual escolheria?",19.94,20.35,0.47,9,19.32,50.0,0.032815
94,Qual sua opinião sobre inteligência artificial substituir empregos?,19.94,20.35,1.94,40,20.57,50.0,0.162102
95,"Comi uma coxinha agora, você curte comida brasileira?",19.94,20.35,1.04,21,20.18,50.0,0.085332
96,Qual filme você recomendaria pra assistir num domingo?,19.94,20.35,0.85,17,19.94,50.0,0.067876
97,Você prefere praia ou montanha?,19.94,20.35,0.57,11,19.39,50.0,0.045244
98,"Se fosse humano, que profissão teria escolhido?",19.94,20.35,0.90,18,19.99,50.0,0.071512
99,Me dá uma dica pra melhorar minha produtividade.,19.95,20.35,2.38,49,20.62,50.0,0.201446
100,"Valeu pela conversa, πR! Até mais.",19.95,20.35,0.52,10,19.41,50.0,0.040738
